City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
552,mugia,43.1041,-9.2179,17.73,86,7,2.83,ES,1686007192
553,saudarkrokur,65.7461,-19.6394,7.85,73,79,1.16,IS,1686007193
554,cidreira,-30.1811,-50.2056,16.11,70,81,2.7,BR,1686007193
555,zinjibar,13.1287,45.3807,31.63,61,21,2.57,YE,1686007193
556,the pas,53.8251,-101.2541,31.01,51,0,8.23,CA,1686007193
557,balabac,7.9868,117.0645,27.76,79,100,5.83,PH,1686007193
558,hit,33.6416,42.8251,29.14,27,92,2.48,IQ,1686007193
559,monrovia,6.3005,-10.7969,25.82,85,100,3.76,LR,1686007193
560,buala,-8.145,159.5921,28.82,74,29,3.71,SB,1686007194
561,brandon,27.9378,-82.2859,31.03,64,0,5.66,US,1686006926
562,suva,-18.1416,178.4415,25.71,83,75,1.03,FJ,1686007194
563,plettenberg bay,-34.0527,23.3716,11.82,65,100,1.41,ZA,1686007194
564,kitami,43.8031,143.8908,16.7,60,5,1.31,JP,1686006932
565,panama city beach,30.1766,-85.8055,27.25,71,40,3.6,US,1686007194
566,barra de santo antonio,-9.4047,-35.5072,25.6,84,22,2.6,BR,1686007194
567,mandera,3.9366,41.867,26.82,64,79,7.59,KE,1686007195
